start	stop	from	from_ip	server	server_dist (km)	server_ping (ms)	download (Mbit/s)	upload (Mbit/s)	share_url
2018-03-20 02:06:17	2018-03-20 02:06:49	Comcast Cable	71.63.18.9	All Points Broadband (Leesburg, VA)	53.73	23.137	54.93	6.16	http://www.speedtest.net/result/7154868195.png
2018-03-20 02:30:01	2018-03-20 02:30:35	Comcast Cable	71.63.18.9	Wave2Net LLC (Winchester, VA)	28.59	24.583	45.56	3.83	http://www.speedtest.net/result/7154902752.png
2018-03-20 03:00:01	2018-03-20 03:00:36	Comcast Cable	71.63.18.9	All Points Broadband (Leesburg, VA)	53.73	24.936	47.33	4.43	http://www.speedtest.net/result/7154945421.png
2018-03-20 03:30:01	2018-03-20 03:30:34	Comcast Cable	71.63.18.9	All Points Broadband (Leesburg, VA)	53.73	22.156	52.49	2.87	http://www.speedtest.net/result/7154987687.png
2018-03-20 04:00:01	2018-03-20 04:00:41	Comcast Cable	71.63.18.9	Shentel (Edinburg, VA)	38.99	25.568	20.43	6.15	http://www.speedtest.net/result/7155029263.png
2018-03-20 04:30:01	2018-03-20 04:30:34	Comcast Cable	71.63.18.9	Wave2Net LLC (Winchester, VA)	28.59	27.383	42.90	3.11	http://www.speedtest.net/result/7155070946.png
2018-03-20 05:00:01	2018-03-20 05:00:39	Comcast Cable	71.63.18.9	All Points Broadband (Leesburg, VA)	53.73	26.768	39.66	4.93	http://www.speedtest.net/result/7155112671.png
2018-03-20 05:30:01	2018-03-20 05:30:39	Comcast Cable	71.63.18.9	Wave2Net LLC (Winchester, VA)	28.59	26.925	36.39	4.10	http://www.speedtest.net/result/7155157279.png
2018-03-20 06:00:01	2018-03-20 06:00:36	Comcast Cable	71.63.18.9	Shentel (Edinburg, VA)	38.99	25.029	40.23	4.00	http://www.speedtest.net/result/7155200540.png
2018-03-20 06:30:01	2018-03-20 06:30:34	Comcast Cable	71.63.18.9	BroadAspect (Ashburn, VA)	57.43	24.683	40.20	2.99	http://www.speedtest.net/result/7155247237.png
